dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.174 939 8651 21420 116 102 98 GIRON
1.175 688 8002 21606 537 353 332 GORREVOD
1.176 3192 8584 21203 103 98 97 LE_GRAND-ABERGEMENT
1.177 713 8388 21379 131 120 115 GRAND-CORENT
1.179 1487 7938 21425 1323 897 863 GRIEGES
1.18 750 8908 21548 501 315 297 GRILLY
1.181 632 8522 21409 730 497 469 GROISSIAT
1.182 727 8515 20843 289 235 235 GROSLEE
1.183 451 7889 21260 854 476 456 GUEREINS
1.184 2160 8379 21335 574 434 401 HAUTECOURT-ROMANECHE
1.185 5034 8528 21140 2376 1766 1691 HAUTEVILLE-LOMPNES
1.186 1060 8481 21052 77 60 56 HOSTIAS
1.187 2840 8600 21164 269 193 190 HOTONNES
1.188 2037 7969 21354 430 302 295 ILLIAT
1.189 2961 8681 21227 662 465 450 INJOUX-GENISSIAT
1.19 1344 8516 20921 136 124 124 INNIMOND
1.191 1304 8468 21203 127 97 93 IZENAVE
1.192 2086 8481 21407 1336 832 781 IZERNORE
1.193 767 8577 20781 183 140 136 IZIEU
1.194 481 7875 21124 3696 2364 2219 JASSANS-RIOTTIER
1.195 1893 8305 21391 1007 707 658 JASSERON
1.196 1630 8142 21561 735 556 536 JAYAT
1.197 243 8314 21316 254 217 212 JOURNANS
1.198 1658 8141 21105 179 135 135 JOYEUX
1.199 1539 8378 21202 1376 920 876 JUJURIEUX
1.2 880 8433 21263 103 78 78 LABALME
1.202 2725 8337 21048 4537 2552 2061 LAGNIEU
1.203 1031 7968 21419 794 490 479 LAIZ
1.204 1525 8609 21339 184 152 144 LALLEYRIAT
1.205 966 8702 21309 697 492 471 LANCRANS
1.206 659 8479 21225 237 206 203 LANTENAY
1.207 2004 8045 21127 210 150 143 LAPEYROUSE
1.208 630 8670 20957 126 116 116 LAVOURS
1.209 1140 8744 21282 363 258 250 LEAZ
1.21 1763 8777 21512 197 152 148 LELEX
1.211 3148 8209 21284 906 579 563 LENT
1.212 2005 8160 21602 466 329 323 LESCHEROUX
1.213 1418 8294 21069 828 602 581 LEYMENT
1.214 913 8424 21333 120 108 107 LEYSSARD
1.215 368 8664 21193 47 38 37 LHOPITAL
1.216 2443 8487 20880 605 420 400 LHUIS
1.218 707 8629 21090 78 64 59 LOCHIEU
1.219 1269 8474 20942 142 119 118 LOMPNAS
1.221 1135 8576 21123 144 125 123 LOMPNIEU
1.224 2128 8229 20900 1470 859 819 LOYETTES
1.225 481 7891 21210 280 183 175 LURCY
1.227 623 8630 20918 308 255 252 MAGNIEU
1.228 1131 8473 21305 433 296 276 MAILLAT
1.229 919 8163 21510 620 447 413 MALAFRETAZ
